frame,time_s,z_m,vz_mps,F_brake_N,P_recov_W,E_cum_J,wheel_deg
130,1.075,13.814607,-1.226094,4904.33,4058.85,3645.93,169.8
131,1.083333,13.804389,-1.226104,4904.38,4058.93,3679.75,171.26
132,1.091667,13.794172,-1.226114,4904.42,4059.0,3713.58,172.72
133,1.1,13.783954,-1.226123,4904.46,4059.06,3747.4,174.19
134,1.108333,13.773736,-1.226132,4904.49,4059.12,3781.23,175.65
135,1.116667,13.763518,-1.226139,4904.53,4059.18,3815.05,177.11
136,1.125,13.7533,-1.226147,4904.56,4059.23,3848.88,178.58
137,1.133333,13.743083,-1.226154,4904.59,4059.28,3882.71,180.04
138,1.141667,13.732865,-1.22616,4904.61,4059.32,3916.54,181.5
139,1.15,13.722646,-1.226166,4904.64,4059.37,3950.36,182.97
140,1.158333,13.712428,-1.226172,4904.66,4059.41,3984.19,184.43
141,1.166667,13.70221,-1.226177,4904.69,4059.44,4018.02,185.89
142,1.175,13.691992,-1.226182,4904.71,4059.48,4051.85,187.36
143,1.183333,13.681774,-1.226186,4904.73,4059.51,4085.68,188.82
144,1.191667,13.671556,-1.226191,4904.75,4059.54,4119.51,190.29
145,1.2,13.661337,-1.226195,4904.76,4059.57,4153.34,191.75
146,1.208333,13.651119,-1.226198,4904.78,4059.59,4187.17,193.21
147,1.216667,13.640901,-1.226202,4904.79,4059.62,4221.0,194.68
148,1.225,13.630682,-1.226205,4904.81,4059.64,4254.83,196.14
149,1.233333,13.620464,-1.226208,4904.82,4059.66,4288.66,197.6
150,1.241667,13.610245,-1.226211,4904.83,4059.68,4322.49,199.07
151,1.25,13.600027,-1.226213,4904.84,4059.7,4356.32,200.53
152,1.258333,13.589809,-1.226216,4904.85,4059.72,4390.15,202.0
153,1.266667,13.57959,-1.226218,4904.86,4059.73,4423.98,203.46
154,1.275,13.569372,-1.22622,4904.87,4059.75,4457.81,204.92
155,1.283333,13.559153,-1.226222,4904.88,4059.76,4491.65,206.39
156,1.291667,13.548934,-1.226224,4904.89,4059.78,4525.48,207.85
157,1.3,13.538716,-1.226226,4904.9,4059.79,4559.31,209.31
158,1.308333,13.528497,-1.226227,4904.9,4059.8,4593.14,210.78
159,1.316667,13.518279,-1.226229,4904.91,4059.81,4626.97,212.24
160,1.325,13.50806,-1.22623,4904.92,4059.82,4660.8,213.7
161,1.333333,13.497842,-1.226232,4904.92,4059.83,4694.64,215.17
162,1.341667,13.487623,-1.226233,4904.93,4059.84,4728.47,216.63
163,1.35,13.477404,-1.226234,4904.93,4059.85,4762.3,218.1
164,1.358333,13.467186,-1.226235,4904.94,4059.85,4796.13,219.56
165,1.366667,13.456967,-1.226236,4904.94,4059.86,4829.96,221.02
166,1.375,13.446748,-1.226237,4904.94,4059.87,4863.8,222.49
167,1.383333,13.43653,-1.226238,4904.95,4059.87,4897.63,223.95
168,1.391667,13.426311,-1.226239,4904.95,4059.88,4931.46,225.41
169,1.4,13.416093,-1.226239,4904.95,4059.89,4965.29,226.88
170,1.408333,13.405874,-1.22624,4904.96,4059.89,4999.13,228.34
171,1.416667,13.395655,-1.226241,4904.96,4059.9,5032.96,229.81
172,1.425,13.385436,-1.226241,4904.96,4059.9,5066.79,231.27
173,1.433333,13.375218,-1.226242,4904.97,4059.9,5100.62,232.73
174,1.441667,13.364999,-1.226243,4904.97,4059.91,5134.46,234.2
175,1.45,13.35478,-1.226243,4904.97,4059.91,5168.29,235.66
176,1.458333,13.344562,-1.226243,4904.97,4059.91,5202.12,237.12
177,1.466667,13.334343,-1.226244,4904.97,4059.92,5235.95,238.59
178,1.475,13.324124,-1.226244,4904.98,4059.92,5269.79,240.05
179,1.483333,13.313906,-1.226245,4904.98,4059.92,5303.62,241.52
180,1.491667,13.303687,-1.226245,4904.98,4059.93,5337.45,242.98
181,1.5,13.293468,-1.226245,4904.98,4059.93,5371.28,244.44
182,1.508333,13.283249,-1.226246,4904.98,4059.93,5405.12,245.91
183,1.516667,13.273031,-1.226246,4904.98,4059.93,5438.95,247.37
184,1.525,13.262812,-1.226246,4904.98,4059.93,5472.78,248.83
185,1.533333,13.252593,-1.226246,4904.98,4059.94,5506.62,250.3
186,1.541667,13.242375,-1.226247,4904.99,4059.94,5540.45,251.76
187,1.55,13.232156,-1.226247,4904.99,4059.94,5574.28,253.23
188,1.558333,13.221937,-1.226247,4904.99,4059.94,5608.11,254.69
189,1.566667,13.211718,-1.226247,4904.99,4059.94,5641.95,256.15
190,1.575,13.2015,-1.226248,4904.99,4059.94,5675.78,257.62
191,1.583333,13.191281,-1.226248,4904.99,4059.94,5709.61,259.08
192,1.591667,13.181062,-1.226248,4904.99,4059.95,5743.45,260.54
193,1.6,13.170844,-1.226248,4904.99,4059.95,5777.28,262.01
194,1.608333,13.160625,-1.226248,4904.99,4059.95,5811.11,263.47
195,1.616667,13.150406,-1.226248,4904.99,4059.95,5844.94,264.93
196,1.625,13.140187,-1.226248,4904.99,4059.95,5878.78,266.4
197,1.633333,13.129969,-1.226248,4904.99,4059.95,5912.61,267.86
198,1.641667,13.11975,-1.226249,4904.99,4059.95,5946.44,269.33
199,1.65,13.109531,-1.226249,4904.99,4059.95,5980.28,270.79
200,1.658333,13.099312,-1.226249,4904.99,4059.95,6014.11,272.25
201,1.666667,13.089094,-1.226249,4905.0,4059.95,6047.94,273.72
202,1.675,13.078875,-1.226249,4905.0,4059.95,6081.78,275.18
203,1.683333,13.068656,-1.226249,4905.0,4059.95,6115.61,276.64
204,1.691667,13.058437,-1.226249,4905.0,4059.95,6149.44,278.11
205,1.7,13.048219,-1.226249,4905.0,4059.95,6183.27,279.57
206,1.708333,13.038,-1.226249,4905.0,4059.95,6217.11,281.04
207,1.716667,13.027781,-1.226249,4905.0,4059.96,6250.94,282.5
208,1.725,13.017562,-1.226249,4905.0,4059.96,6284.77,283.96
209,1.733333,13.007344,-1.226249,4905.0,4059.96,6318.61,285.43
210,1.741667,12.997125,-1.226249,4905.0,4059.96,6352.44,286.89
211,1.75,12.986906,-1.226249,4905.0,4059.96,6386.27,288.35
212,1.758333,12.976687,-1.226249,4905.0,4059.96,6420.1,289.82
213,1.766667,12.966469,-1.226249,4905.0,4059.96,6453.94,291.28
214,1.775,12.95625,-1.22625,4905.0,4059.96,6487.77,292.75
215,1.783333,12.946031,-1.22625,4905.0,4059.96,6521.6,294.21
216,1.791667,12.935812,-1.22625,4905.0,4059.96,6555.44,295.67
217,1.8,12.925594,-1.22625,4905.0,4059.96,6589.27,297.14
218,1.808333,12.915375,-1.22625,4905.0,4059.96,6623.1,298.6
219,1.816667,12.905156,-1.22625,4905.0,4059.96,6656.94,300.06
220,1.825,12.894937,-1.22625,4905.0,4059.96,6690.77,301.53
221,1.833333,12.884719,-1.22625,4905.0,4059.96,6724.6,302.99
222,1.841667,12.8745,-1.22625,4905.0,4059.96,6758.43,304.46
223,1.85,12.864281,-1.22625,4905.0,4059.96,6792.27,305.92
224,1.858333,12.854062,-1.22625,4905.0,4059.96,6826.1,307.38
225,1.866667,12.843844,-1.22625,4905.0,4059.96,6859.93,308.85
226,1.875,12.833625,-1.22625,4905.0,4059.96,6893.77,310.31
227,1.883333,12.823406,-1.22625,4905.0,4059.96,6927.6,311.77
228,1.891667,12.813187,-1.22625,4905.0,4059.96,6961.43,313.24
229,1.9,12.802969,-1.22625,4905.0,4059.96,6995.27,314.7
230,1.908333,12.79275,-1.22625,4905.0,4059.96,7029.1,316.17
231,1.916667,12.782531,-1.22625,4905.0,4059.96,7062.93,317.63
232,1.925,12.772312,-1.22625,4905.0,4059.96,7096.76,319.09
233,1.933333,12.762094,-1.22625,4905.0,4059.96,7130.6,320.56
234,1.941667,12.751875,-1.22625,4905.0,4059.96,7164.43,322.02
235,1.95,12.741656,-1.22625,4905.0,4059.96,7198.26,323.48
236,1.958333,12.731437,-1.22625,4905.0,4059.96,7232.1,324.95
237,1.966667,12.721219,-1.22625,4905.0,4059.96,7265.93,326.41
238,1.975,12.711,-1.22625,4905.0,4059.96,7299.76,327.88
239,1.983333,12.700781,-1.22625,4905.0,4059.96,7333.6,329.34
240,1.991667,12.690562,-1.22625,4905.0,4059.96,7367.43,330.8
241,2.0,12.680344,-1.22625,4905.0,4059.96,7401.26,332.27
242,2.008333,12.670125,-1.22625,4905.0,4059.96,7435.09,333.73
243,2.016667,12.659906,-1.22625,4905.0,4059.96,7468.93,335.19
244,2.025,12.649687,-1.22625,4905.0,4059.96,7502.76,336.66
245,2.033333,12.639469,-1.22625,4905.0,4059.96,7536.59,338.12
246,2.041667,12.62925,-1.22625,4905.0,4059.96,7570.43,339.58
247,2.05,12.619031,-1.22625,4905.0,4059.96,7604.26,341.05
248,2.058333,12.608812,-1.22625,4905.0,4059.96,7638.09,342.51
249,2.066667,12.598594,-1.22625,4905.0,4059.96,7671.93,343.98
250,2.075,12.588375,-1.22625,4905.0,4059.96,7705.76,345.44
251,2.083333,12.578156,-1.22625,4905.0,4059.96,7739.59,346.9
252,2.091667,12.567937,-1.22625,4905.0,4059.96,7773.42,348.37
253,2.1,12.557719,-1.22625,4905.0,4059.96,7807.26,349.83
254,2.108333,12.5475,-1.22625,4905.0,4059.96,7841.09,351.29
255,2.116667,12.537281,-1.22625,4905.0,4059.96,7874.92,352.76
256,2.125,12.527062,-1.22625,4905.0,4059.96,7908.76,354.22
257,2.133333,12.516844,-1.22625,4905.0,4059.96,7942.59,355.69
258,2.141667,12.506625,-1.22625,4905.0,4059.96,7976.42,357.15
259,2.15,12.496406,-1.22625,4905.0,4059.96,8010.26,358.61
260,2.158333,12.486187,-1.22625,4905.0,4059.96,8044.09,360.08
261,2.166667,12.475969,-1.22625,4905.0,4059.96,8077.92,361.54
262,2.175,12.46575,-1.22625,4905.0,4059.96,8111.75,363.0
263,2.183333,12.455531,-1.22625,4905.0,4059.96,8145.59,364.47
264,2.191667,12.445312,-1.22625,4905.0,4059.96,8179.42,365.93
265,2.2,12.435094,-1.22625,4905.0,4059.96,8213.25,367.4
266,2.208333,12.424875,-1.22625,4905.0,4059.96,8247.09,368.86
267,2.216667,12.414656,-1.22625,4905.0,4059.96,8280.92,370.32
268,2.225,12.404437,-1.22625,4905.0,4059.96,8314.75,371.79
269,2.233333,12.394219,-1.22625,4905.0,4059.96,8348.59,373.25
270,2.241667,12.384,-1.22625,4905.0,4059.96,8382.42,374.71
271,2.25,12.373781,-1.22625,4905.0,4059.96,8416.25,376.18
272,2.258333,12.363562,-1.22625,4905.0,4059.96,8450.08,377.64
273,2.266667,12.353344,-1.22625,4905.0,4059.96,8483.92,379.11
274,2.275,12.343125,-1.22625,4905.0,4059.96,8517.75,380.57
275,2.283333,12.332906,-1.22625,4905.0,4059.96,8551.58,382.03
276,2.291667,12.322687,-1.22625,4905.0,4059.96,8585.42,383.5
277,2.3,12.312469,-1.22625,4905.0,4059.96,8619.25,384.96
278,2.308333,12.30225,-1.22625,4905.0,4059.96,8653.08,386.42
279,2.316667,12.292031,-1.22625,4905.0,4059.96,8686.92,387.89
280,2.325,12.281812,-1.22625,4905.0,4059.96,8720.75,389.35
281,2.333333,12.271594,-1.22625,4905.0,4059.96,8754.58,390.82
282,2.341667,12.261375,-1.22625,4905.0,4059.96,8788.41,392.28
283,2.35,12.251156,-1.22625,4905.0,4059.96,8822.25,393.74
284,2.358333,12.240937,-1.22625,4905.0,4059.96,8856.08,395.21
285,2.366667,12.230719,-1.22625,4905.0,4059.96,8889.91,396.67
286,2.375,12.2205,-1.22625,4905.0,4059.96,8923.75,398.13
287,2.383333,12.210281,-1.22625,4905.0,4059.96,8957.58,399.6
288,2.391667,12.200062,-1.22625,4905.0,4059.96,8991.41,401.06
289,2.4,12.189844,-1.22625,4905.0,4059.96,9025.25,402.53
290,2.408333,12.179625,-1.22625,4905.0,4059.96,9059.08,403.99
291,2.416667,12.169406,-1.22625,4905.0,4059.96,9092.91,405.45
292,2.425,12.159187,-1.22625,4905.0,4059.96,9126.74,406.92
293,2.433333,12.148969,-1.22625,4905.0,4059.96,9160.58,408.38
294,2.441667,12.13875,-1.22625,4905.0,4059.96,9194.41,409.84
295,2.45,12.128531,-1.22625,4905.0,4059.96,9228.24,411.31
296,2.458333,12.118312,-1.22625,4905.0,4059.96,9262.08,412.77
297,2.466667,12.108094,-1.22625,4905.0,4059.96,9295.91,414.24
298,2.475,12.097875,-1.22625,4905.0,4059.96,9329.74,415.7
299,2.483333,12.087656,-1.22625,4905.0,4059.96,9363.58,417.16
300,2.491667,12.077437,-1.22625,4905.0,4059.96,9397.41,418.63
301,2.5,12.067219,-1.22625,4905.0,4059.96,9431.24,420.09
302,2.508333,12.057,-1.22625,4905.0,4059.96,9465.07,421.55
303,2.516667,12.046781,-1.22625,4905.0,4059.96,9498.91,423.02
304,2.525,12.036562,-1.22625,4905.0,4059.96,9532.74,424.48
305,2.533333,12.026344,-1.22625,4905.0,4059.96,9566.57,425.94
306,2.541667,12.016125,-1.22625,4905.0,4059.96,9600.41,427.41
307,2.55,12.005906,-1.22625,4905.0,4059.96,9634.24,428.87
308,2.558333,11.995687,-1.22625,4905.0,4059.96,9668.07,430.34
309,2.566667,11.985469,-1.22625,4905.0,4059.96,9701.91,431.8
310,2.575,11.97525,-1.22625,4905.0,4059.96,9735.74,433.26
311,2.583333,11.965031,-1.22625,4905.0,4059.96,9769.57,434.73
312,2.591667,11.954812,-1.22625,4905.0,4059.96,9803.4,436.19
313,2.6,11.944594,-1.22625,4905.0,4059.96,9837.24,437.65
314,2.608333,11.934375,-1.22625,4905.0,4059.96,9871.07,439.12
315,2.616667,11.924156,-1.22625,4905.0,4059.96,9904.9,440.58
